,Date,TemperatureDSNY,TemperatureCPER
360,2019-01-08 12:00:00+00:00,13.4368,-4.8284
361,2019-01-08 12:30:00+00:00,13.6444,-4.9935
362,2019-01-08 13:00:00+00:00,14.9184,-4.4882
363,2019-01-08 13:30:00+00:00,16.6807,-5.864
364,2019-01-08 14:00:00+00:00,18.7636,-6.0652
365,2019-01-08 14:30:00+00:00,20.5205,-5.4538
366,2019-01-08 15:00:00+00:00,21.6777,-4.6744
367,2019-01-08 15:30:00+00:00,22.4176,-3.3325
368,2019-01-08 16:00:00+00:00,23.0454,-2.5683
369,2019-01-08 16:30:00+00:00,23.4372,-2.0681
370,2019-01-08 17:00:00+00:00,23.8385,-1.5753
371,2019-01-08 17:30:00+00:00,24.5168,-0.8138
372,2019-01-08 18:00:00+00:00,24.6115,-0.0286
373,2019-01-08 18:30:00+00:00,24.8509,0.438
374,2019-01-08 19:00:00+00:00,24.3536,0.8593
375,2019-01-08 19:30:00+00:00,24.6628,1.472
376,2019-01-08 20:00:00+00:00,24.5307,1.9463
377,2019-01-08 20:30:00+00:00,24.7453,2.8703
378,2019-01-08 21:00:00+00:00,25.0561,3.318
379,2019-01-08 21:30:00+00:00,24.6157,3.8026
380,2019-01-08 22:00:00+00:00,24.047,3.902
381,2019-01-08 22:30:00+00:00,23.3311,3.4751
382,2019-01-08 23:00:00+00:00,22.8209,2.9036
383,2019-01-08 23:30:00+00:00,21.7141,2.5984
384,2019-01-09 00:00:00+00:00,21.0529,2.4079
385,2019-01-09 00:30:00+00:00,20.2629,1.1421
386,2019-01-09 01:00:00+00:00,19.5019,0.7321
387,2019-01-09 01:30:00+00:00,19.0254,-1.8198
388,2019-01-09 02:00:00+00:00,18.6918,-2.5843
389,2019-01-09 02:30:00+00:00,18.2231,-2.4475
390,2019-01-09 03:00:00+00:00,17.6371,-2.0368
391,2019-01-09 03:30:00+00:00,17.0893,-1.4831
392,2019-01-09 04:00:00+00:00,16.969,-3.6653
393,2019-01-09 04:30:00+00:00,16.6095,-4.1358
394,2019-01-09 05:00:00+00:00,16.7028,-4.786
395,2019-01-09 05:30:00+00:00,16.7913,-4.9582
396,2019-01-09 06:00:00+00:00,16.5615,-3.5908
397,2019-01-09 06:30:00+00:00,15.9341,-3.1096
398,2019-01-09 07:00:00+00:00,15.6426,-3.1123
399,2019-01-09 07:30:00+00:00,15.4287,-2.1238
400,2019-01-09 08:00:00+00:00,15.1206,-2.038
401,2019-01-09 08:30:00+00:00,14.7874,-3.6127
402,2019-01-09 09:00:00+00:00,14.5137,-3.8377
403,2019-01-09 09:30:00+00:00,14.3273,-4.0716
404,2019-01-09 10:00:00+00:00,14.2026,-1.9146
405,2019-01-09 10:30:00+00:00,13.7634,-3.2545
406,2019-01-09 11:00:00+00:00,14.1114,-4.6308
407,2019-01-09 11:30:00+00:00,14.2545,-3.276
408,2019-01-09 12:00:00+00:00,14.5632,-2.6982
409,2019-01-09 12:30:00+00:00,14.3756,-3.0274
410,2019-01-09 13:00:00+00:00,14.7153,-3.322
411,2019-01-09 13:30:00+00:00,15.4543,-1.7314
412,2019-01-09 14:00:00+00:00,16.3321,-2.3522
413,2019-01-09 14:30:00+00:00,17.0623,-3.3859
414,2019-01-09 15:00:00+00:00,17.991,-2.1949
415,2019-01-09 15:30:00+00:00,19.0491,-0.7092
416,2019-01-09 16:00:00+00:00,19.5665,-1.4936
417,2019-01-09 16:30:00+00:00,20.0016,-0.071
418,2019-01-09 17:00:00+00:00,20.6038,2.0118
