,date,birdName,count
509,2016-06-13,Red-breasted Nuthatch,1
510,2016-06-13,Red-eyed Vireo,6
511,2016-06-13,Red-tailed Hawk,0
512,2016-06-13,Ruby-throated Hummingbird,0
513,2016-06-13,Ruffed Grouse,0
514,2016-06-13,Scarlet Tanager,8
515,2016-06-13,Summer Tanager,0
516,2016-06-13,Swainson's Thrush,0
517,2016-06-13,Tufted Titmouse,5
518,2016-06-13,Unknown Nuthatch,0
519,2016-06-13,Unknown Tanager,0
520,2016-06-13,White-breasted Nuthatch,2
521,2016-06-13,White-eyed Vireo,0
522,2016-06-13,Wild Turkey,0
523,2016-06-13,Wood Thrush,0
524,2016-06-13,Worm-eating Warbler,2
525,2016-06-13,Yellow-billed Cuckoo,1
526,2016-06-13,Yellow-throated Vireo,0
527,2016-06-13,Yellow-throated Warbler,0
528,2017-05-25,Acadian Flycatcher,6
529,2017-05-25,American Crow,6
530,2017-05-25,American Goldfinch,7
531,2017-05-25,American Robin,0
532,2017-05-25,American Woodcock,0
533,2017-05-25,Barred Owl,0
534,2017-05-25,Belted Kingfisher,0
535,2017-05-25,Black-and-white Warbler,7
536,2017-05-25,Black-throated Blue Warbler,0
537,2017-05-25,Black-throated Green Warbler,7
538,2017-05-25,Blue Jay,5
539,2017-05-25,Blue-gray Gnatcatcher,6
540,2017-05-25,Blue-headed Vireo,7
541,2017-05-25,Broad-winged Hawk,3
542,2017-05-25,Brown Thrasher,0
543,2017-05-25,Brown-headed Cowbird,1
544,2017-05-25,Carolina Chickadee,9
545,2017-05-25,Carolina Wren,8
546,2017-05-25,Cedar Waxwing,1
547,2017-05-25,Chimney Swift,0
548,2017-05-25,Chipping Sparrow,0
549,2017-05-25,Common Grackle,0
550,2017-05-25,Dark-eyed Junco,0
551,2017-05-25,Downy Woodpecker,1
552,2017-05-25,Eastern Bluebird,0
553,2017-05-25,Eastern Phoebe,0
554,2017-05-25,Eastern Screech-Owl,0
555,2017-05-25,Eastern Towhee,10
556,2017-05-25,Eastern Wood-Pewee,0
557,2017-05-25,Field Sparrow,0
558,2017-05-25,Golden-crowned Kinglet,0
559,2017-05-25,Great Blue Heron,0
560,2017-05-25,Great Crested Flycatcher,0
561,2017-05-25,Hairy Woodpecker,0
562,2017-05-25,Hooded Warbler,15
563,2017-05-25,Indigo Bunting,0
564,2017-05-25,Kentucky Warbler,0
565,2017-05-25,Louisiana Waterthrush,3
566,2017-05-25,Mourning Dove,0
567,2017-05-25,Northern Cardinal,8
568,2017-05-25,Northern Flicker,0
569,2017-05-25,Northern Parula,5
570,2017-05-25,Ovenbird,5
571,2017-05-25,Pileated Woodpecker,7
572,2017-05-25,Pine Warbler,8
573,2017-05-25,Red Crossbill,0
574,2017-05-25,Red-bellied Woodpecker,2
575,2017-05-25,Red-breasted Nuthatch,0
576,2017-05-25,Red-eyed Vireo,7
577,2017-05-25,Red-tailed Hawk,0
578,2017-05-25,Ruby-throated Hummingbird,1
579,2017-05-25,Ruffed Grouse,0
580,2017-05-25,Scarlet Tanager,3
581,2017-05-25,Summer Tanager,0
582,2017-05-25,Swainson's Thrush,0
583,2017-05-25,Tufted Titmouse,9
584,2017-05-25,Unknown Nuthatch,1
585,2017-05-25,Unknown Tanager,0
586,2017-05-25,White-breasted Nuthatch,2
587,2017-05-25,White-eyed Vireo,0
588,2017-05-25,Wild Turkey,0
589,2017-05-25,Wood Thrush,0
590,2017-05-25,Worm-eating Warbler,2
591,2017-05-25,Yellow-billed Cuckoo,0
592,2017-05-25,Yellow-throated Vireo,0
593,2017-05-25,Yellow-throated Warbler,7
594,2017-05-26,Acadian Flycatcher,4
595,2017-05-26,American Crow,2
596,2017-05-26,American Goldfinch,6
597,2017-05-26,American Robin,0
598,2017-05-26,American Woodcock,0
599,2017-05-26,Barred Owl,0
600,2017-05-26,Belted Kingfisher,0
601,2017-05-26,Black-and-white Warbler,11
602,2017-05-26,Black-throated Blue Warbler,0
603,2017-05-26,Black-throated Green Warbler,26
604,2017-05-26,Blue Jay,0
605,2017-05-26,Blue-gray Gnatcatcher,2
606,2017-05-26,Blue-headed Vireo,4
607,2017-05-26,Broad-winged Hawk,0
608,2017-05-26,Brown Thrasher,0
609,2017-05-26,Brown-headed Cowbird,1
610,2017-05-26,Carolina Chickadee,7
611,2017-05-26,Carolina Wren,6
612,2017-05-26,Cedar Waxwing,0
613,2017-05-26,Chimney Swift,1
614,2017-05-26,Chipping Sparrow,0
615,2017-05-26,Common Grackle,0
616,2017-05-26,Dark-eyed Junco,0
617,2017-05-26,Downy Woodpecker,2
618,2017-05-26,Eastern Bluebird,0
619,2017-05-26,Eastern Phoebe,2
620,2017-05-26,Eastern Screech-Owl,0
621,2017-05-26,Eastern Towhee,7
622,2017-05-26,Eastern Wood-Pewee,3
623,2017-05-26,Field Sparrow,0
624,2017-05-26,Golden-crowned Kinglet,0
625,2017-05-26,Great Blue Heron,0
626,2017-05-26,Great Crested Flycatcher,0
627,2017-05-26,Hairy Woodpecker,2
628,2017-05-26,Hooded Warbler,19
629,2017-05-26,Indigo Bunting,1
630,2017-05-26,Kentucky Warbler,0
631,2017-05-26,Louisiana Waterthrush,5
632,2017-05-26,Mourning Dove,0
633,2017-05-26,Northern Cardinal,1
634,2017-05-26,Northern Flicker,1
635,2017-05-26,Northern Parula,7
636,2017-05-26,Ovenbird,13
637,2017-05-26,Pileated Woodpecker,4
638,2017-05-26,Pine Warbler,4
639,2017-05-26,Red Crossbill,0
640,2017-05-26,Red-bellied Woodpecker,1
641,2017-05-26,Red-breasted Nuthatch,0
642,2017-05-26,Red-eyed Vireo,18
643,2017-05-26,Red-tailed Hawk,0
644,2017-05-26,Ruby-throated Hummingbird,1
645,2017-05-26,Ruffed Grouse,0
646,2017-05-26,Scarlet Tanager,5
647,2017-05-26,Summer Tanager,0
648,2017-05-26,Swainson's Thrush,0
649,2017-05-26,Tufted Titmouse,9
650,2017-05-26,Unknown Nuthatch,0
651,2017-05-26,Unknown Tanager,3
652,2017-05-26,White-breasted Nuthatch,0
653,2017-05-26,White-eyed Vireo,1
654,2017-05-26,Wild Turkey,0
655,2017-05-26,Wood Thrush,4
656,2017-05-26,Worm-eating Warbler,15
657,2017-05-26,Yellow-billed Cuckoo,0
658,2017-05-26,Yellow-throated Vireo,0
659,2017-05-26,Yellow-throated Warbler,7
660,2017-05-27,Acadian Flycatcher,2
661,2017-05-27,American Crow,2
662,2017-05-27,American Goldfinch,0
663,2017-05-27,American Robin,0
664,2017-05-27,American Woodcock,0
665,2017-05-27,Barred Owl,0
